ID;Accuracy en test;Error;Parámetros totales;Parámetros Entrenables;Tiempo aproximado por epoch (s);Notas;;;;;;
basic;0.842;0,158;1840330;1838346;20;Implementación básica del repositorio de Roberto + EarlyStopping;;;;;;
VGG11;0.872;0,128;32221058;32215554;29;;;;;;; 
VGG16;0.905;0,095;37721154;37712706;36;;;;;;;
VGG11_DA;0,787;0,213;32221058;32215554;30;Implementación con la DA que mejores resultados dio en RNA;;;;;;
VGG11_DA_b;0.844;0,156;32221058;32215554;30;Implementación quitando el vertical flip del DA;;;;;;
VGG16_DA;0,834;0,166;37721154;37712706;176;Implementación con la DA que mejores resultados dio en RNA Perdí el notebook :(;;;;;;
WideResNet_K8;0,97;0,03;23377,9;23362922;176;;;;;;;
WideResNet_K4_NoPreTrained;0,778;0,212;5860298;5853098;76;;;;;;;
WideResNet_K8_NoPreTrained;0.855;0,145;2337729;23362922;198;;;;;;;
DenseNet;;;;;215;;;;;;;
